Item #,Description,Type,Price,Core Deposit
681-4,A/C CHANGEOVER (CONVERT),Car,$194.99,$0.00
684,A/C CLUTCH,Car,$47.99,$3.99
682-1,A/C COMPRESSOR (ALL),Car,$60.99,$9.99
679,A/C CONDENSER,Car,$49.99,$4.99
681-3,A/C DRYER,Car,$15.99,$1.99
681-2,A/C DUCT,Car,$11.49,$0.00
680,A/C EVAPORATOR,Car,$42.99,$4.99
683-1,A/C HOSE,Car,$25.99,$0.00
681-1,A/C SUITCASE HOUSING,Car,$36.99,$0.00
400-6,ACUATOR (4X4),Car,$26.99,$0.00
332-1A,AFTERMKT EXHST OR PIPE,Car,$23.99,$0.00
253,AIR BAG (EACH),Car,$73.99,$0.00
319-1,AIR CLEANER,Car,$32.99,$0.00
319-3,AIR CLEANER FILTER,Car,$6.49,$0.00
319-2,AIR CLEANER TOP,Car,$21.99,$0.00
522,AIR COMPRESSOR(AIR SUSP'N),Car,$59.99,$4.99
601,ALTERNATOR,Car,$37.99,$9.99
639,AMPLIFIER / EQ - AUDIO,Car,$61.99,$0.00
645-1,ANTENNA,Car,$9.49,$0.00
706,ANTIFREEZE,Car,$6.49,$0.00
799,ANY HATS,Car,$9.49,$0.00
200-1,ASH TRAY,Car,$9.99,$0.00
490-1,AXLE C.V.,Car,$40.99,$1.99
490-3,AXLE C.V. COMPL W/HUB/SPIN,Car,$100.99,$4.99
434-1,AXLE FT ASSY 4X4 PU,Pick-Up/Van,$390.99,$29.99
447-1,AXLE SHAFT (SOLID TYPE),Car,$56.99,$3.99
447-2,AXLE SHAFT - 4x4,Pick-Up/Van,$58.99,$3.99
476P,AXLE TRUCK STRT (BARE) P/U,Pick-Up/Van,$82.99,$4.99
506-2,BALL JOINT,Car,$6.49,$0.00
600-2,BATTERY (REFRESHED),Car,$62.99,$12.99
600-1,BATTERY (USED),Car,$41.99,$12.99
600-3,BATTERY BOX,Car,$17.99,$0.00
600-4,BATTERY CABLE,Car,$9.49,$0.00
600-5,BATTERY HYBRID/ELECTRICAL,Car,$538.99,$29.99
580-1,BEAUTY RING,Car,$5.99,$0.00
155-2A,BED LINER,Pick-Up/Van,$59.99,$0.00
408,BELL HOUSING,Car,$61.99,$3.99
342-1A,BRACKETS,Car,$15.99,$0.00
545-1,BRAKE ABS CONTROLLER,Car,$106.99,$4.99
543,BRAKE BACKING PLATE,Car,$21.99,$0.99
536,BRAKE CALIPER,Car,$29.99,$3.99
533-1,BRAKE DRUM W/HUB,Car,$30.99,$1.99
533-2,BRAKE DRUM W/O HUB,Car,$27.99,$1.99
534-1,BRAKE EMERGENCY CABLE,Car,$25.99,$0.00
534-2,BRAKE EMERGENCY CBL+PED/HND,Car,$36.99,$0.00
166-3,BRAKE LIGHT(3RD HI MOUNT),Car,$25.99,$0.00
534-3,BRAKE LINE OR HOSE,Car,$9.99,$0.00
541-2,BRAKE MASTER CYL &BOOSTER,Car,$61.99,$3.99
541-1,BRAKE MASTER CYL OR BOOSTER,Car,$31.99,$3.99
535-1,BRAKE PROPORTIONING VALVE,Car,$21.99,$0.00
530-1,BRAKE ROTOR W/HUB,Car,$28.99,$3.99
